Month,site,specialty,AdmissionStatus,WeeksWaitCategory,PathwayCount
2023-01,LH,ENT,Admitted,0-17 weeks,294
2023-01,LH,ENT,Admitted,18-51 weeks,569
2023-01,LH,ENT,Admitted,52+ weeks,316
2023-01,LH,ENT,NonAdmitted,0-17 weeks,2696
2023-01,LH,ENT,NonAdmitted,18-51 weeks,2459
2023-01,LH,ENT,NonAdmitted,52+ weeks,258
2023-01,LH,Gastro,Admitted,0-17 weeks,96
2023-01,LH,Gastro,Admitted,18-51 weeks,14
2023-01,LH,Gastro,Admitted,52+ weeks,7
2023-01,LH,Gastro,NonAdmitted,0-17 weeks,1174
2023-01,LH,Gastro,NonAdmitted,18-51 weeks,1058
2023-01,LH,Gastro,NonAdmitted,52+ weeks,157
2023-01,LH,Gen Med,Admitted,0-17 weeks,1
2023-01,LH,Gen Med,NonAdmitted,0-17 weeks,210
2023-01,LH,Gen Med,NonAdmitted,18-51 weeks,328
2023-01,LH,Gen Med,NonAdmitted,52+ weeks,13
2023-01,LH,Gen Surg,Admitted,0-17 weeks,162
2023-01,LH,Gen Surg,Admitted,18-51 weeks,243
2023-01,LH,Gen Surg,Admitted,52+ weeks,94
2023-01,LH,Gen Surg,NonAdmitted,0-17 weeks,1434
2023-01,LH,Gen Surg,NonAdmitted,18-51 weeks,941
2023-01,LH,Gen Surg,NonAdmitted,52+ weeks,140
2023-01,LH,Geriatric Med,NonAdmitted,0-17 weeks,178
2023-01,LH,Geriatric Med,NonAdmitted,18-51 weeks,2
2023-01,LH,Gynae,Admitted,0-17 weeks,149
2023-01,LH,Gynae,Admitted,18-51 weeks,177
2023-01,LH,Gynae,Admitted,52+ weeks,94
2023-01,LH,Gynae,NonAdmitted,0-17 weeks,2101
2023-01,LH,Gynae,NonAdmitted,18-51 weeks,493
2023-01,LH,Gynae,NonAdmitted,52+ weeks,29
2023-01,LH,Med Oncol,Admitted,0-17 weeks,36
2023-01,LH,Med Oncol,Admitted,18-51 weeks,1
2023-01,LH,Med Oncol,NonAdmitted,0-17 weeks,164
2023-01,LH,Med Oncol,NonAdmitted,18-51 weeks,10
2023-01,LH,Med Oncol,NonAdmitted,52+ weeks,2
2023-01,LH,Nephro,NonAdmitted,0-17 weeks,97
2023-01,LH,Nephro,NonAdmitted,18-51 weeks,13
2023-01,LH,Neuro,NonAdmitted,0-17 weeks,801
2023-01,LH,Neuro,NonAdmitted,18-51 weeks,979
2023-01,LH,Neuro,NonAdmitted,52+ weeks,166
2023-01,LH,Paed Cardio,NonAdmitted,0-17 weeks,77
2023-01,LH,Paed Cardio,NonAdmitted,18-51 weeks,16
2023-01,LH,Paed Cardio,NonAdmitted,52+ weeks,2
2023-01,LH,Paed Clin Haem,NonAdmitted,0-17 weeks,5
2023-01,LH,Paed Derm,Admitted,0-17 weeks,3
2023-01,LH,Paed Derm,Admitted,18-51 weeks,1
2023-01,LH,Paed Derm,Admitted,52+ weeks,1
2023-01,LH,Paed Derm,NonAdmitted,0-17 weeks,146
2023-01,LH,Paed Derm,NonAdmitted,18-51 weeks,17
2023-01,LH,Paed Derm,NonAdmitted,52+ weeks,1
2023-01,LH,Paed Endocrin,NonAdmitted,0-17 weeks,8
2023-01,LH,Paed Endocrin,NonAdmitted,18-51 weeks,1
2023-01,LH,Paed ENT,Admitted,0-17 weeks,117
2023-01,LH,Paed ENT,Admitted,18-51 weeks,290
2023-01,LH,Paed ENT,Admitted,52+ weeks,27
2023-01,LH,Paed ENT,NonAdmitted,0-17 weeks,380
2023-01,LH,Paed ENT,NonAdmitted,18-51 weeks,515
2023-01,LH,Paed ENT,NonAdmitted,52+ weeks,25
2023-01,LH,Paed Gastro,NonAdmitted,0-17 weeks,34
2023-01,LH,Paed Gastro,NonAdmitted,18-51 weeks,3
2023-01,LH,Paed Ophthal,NonAdmitted,0-17 weeks,435
2023-01,LH,Paed Ophthal,NonAdmitted,18-51 weeks,131
2023-01,LH,Paed Rheum,NonAdmitted,0-17 weeks,49
2023-01,LH,Paed Rheum,NonAdmitted,18-51 weeks,10
2023-01,LH,Paed Surg,Admitted,0-17 weeks,58
2023-01,LH,Paed Surg,Admitted,18-51 weeks,21
2023-01,LH,Paed Surg,NonAdmitted,0-17 weeks,100
2023-01,LH,Paed Surg,NonAdmitted,18-51 weeks,27
2023-01,LH,Paed T&O,Admitted,0-17 weeks,2
2023-01,LH,Paed T&O,Admitted,18-51 weeks,2
2023-01,LH,Paed T&O,Admitted,52+ weeks,1
2023-01,LH,Paed T&O,NonAdmitted,0-17 weeks,2
2023-01,LH,Paed T&O,NonAdmitted,18-51 weeks,3
2023-01,LH,Paediatrics,NonAdmitted,0-17 weeks,619
2023-01,LH,Paediatrics,NonAdmitted,18-51 weeks,301
2023-01,LH,Paediatrics,NonAdmitted,52+ weeks,10
2023-01,LH,Pain Manage,Admitted,0-17 weeks,24
2023-01,LH,Pain Manage,Admitted,18-51 weeks,53
2023-01,LH,Pain Manage,Admitted,52+ weeks,12
2023-01,LH,Pain Manage,NonAdmitted,0-17 weeks,362
2023-01,LH,Pain Manage,NonAdmitted,18-51 weeks,364
2023-01,LH,Pain Manage,NonAdmitted,52+ weeks,36
2023-01,LH,Resp Med,Admitted,0-17 weeks,1
2023-01,LH,Resp Med,NonAdmitted,0-17 weeks,471
2023-01,LH,Resp Med,NonAdmitted,18-51 weeks,22
2023-01,LH,Rheum,NonAdmitted,0-17 weeks,422
2023-01,LH,Rheum,NonAdmitted,18-51 weeks,76
2023-01,LH,T&O,Admitted,0-17 weeks,381
2023-01,LH,T&O,Admitted,18-51 weeks,708
2023-01,LH,T&O,Admitted,52+ weeks,255
2023-01,LH,T&O,NonAdmitted,0-17 weeks,1435
2023-01,LH,T&O,NonAdmitted,18-51 weeks,919
2023-01,LH,T&O,NonAdmitted,52+ weeks,124
2023-01,LH,Upper Gast Surg,Admitted,0-17 weeks,11
2023-01,LH,Upper Gast Surg,Admitted,18-51 weeks,2
2023-01,LH,Upper Gast Surg,NonAdmitted,0-17 weeks,247
2023-01,LH,Upper Gast Surg,NonAdmitted,18-51 weeks,128
2023-01,LH,Upper Gast Surg,NonAdmitted,52+ weeks,10
2023-01,LH,Urology,Admitted,0-17 weeks,60
2023-01,LH,Urology,Admitted,18-51 weeks,53
2023-01,LH,Urology,Admitted,52+ weeks,6
2023-01,LH,Urology,NonAdmitted,0-17 weeks,32
2023-01,LH,Urology,NonAdmitted,18-51 weeks,13
2023-01,LH,Urology,NonAdmitted,52+ weeks,1
2023-01,LH,Vasc Surg,Admitted,0-17 weeks,22
2023-01,LH,Vasc Surg,Admitted,18-51 weeks,37
2023-01,LH,Vasc Surg,Admitted,52+ weeks,68
2023-01,LH,Vasc Surg,NonAdmitted,0-17 weeks,403
2023-01,LH,Vasc Surg,NonAdmitted,18-51 weeks,572
2023-01,LH,Vasc Surg,NonAdmitted,52+ weeks,196
2023-01,LHC,Community Paeds,NonAdmitted,0-17 weeks,105
2023-01,QE,A&E,NonAdmitted,0-17 weeks,1
2023-01,QE,Audiology,NonAdmitted,0-17 weeks,37
2023-01,QE,Audiology,NonAdmitted,18-51 weeks,25
2023-01,QE,Audiology,NonAdmitted,52+ weeks,3
2023-01,QE,Cardio,Admitted,0-17 weeks,49
2023-01,QE,Cardio,Admitted,18-51 weeks,5
2023-01,QE,Cardio,Admitted,52+ weeks,2
2023-01,QE,Cardio,NonAdmitted,0-17 weeks,991
2023-01,QE,Cardio,NonAdmitted,18-51 weeks,680
2023-01,QE,Cardio,NonAdmitted,52+ weeks,5
2023-01,QE,Clin Haem,Admitted,0-17 weeks,10
2023-01,QE,Clin Haem,Admitted,18-51 weeks,2
2023-01,QE,Clin Haem,NonAdmitted,0-17 weeks,211
2023-01,QE,Clin Haem,NonAdmitted,18-51 weeks,75
2023-01,QE,Clin Haem,NonAdmitted,52+ weeks,4
2023-01,QE,Colorect Surg,Admitted,0-17 weeks,164
2023-01,QE,Colorect Surg,Admitted,18-51 weeks,73
2023-01,QE,Colorect Surg,Admitted,52+ weeks,30
2023-01,QE,Colorect Surg,NonAdmitted,0-17 weeks,762
2023-01,QE,Colorect Surg,NonAdmitted,18-51 weeks,564
2023-01,QE,Colorect Surg,NonAdmitted,52+ weeks,129
2023-01,QE,Derm,NonAdmitted,0-17 weeks,1380
2023-01,QE,Derm,NonAdmitted,18-51 weeks,473
2023-01,QE,Derm,NonAdmitted,52+ weeks,1
2023-01,QE,Diabetic,NonAdmitted,0-17 weeks,88
2023-01,QE,Diabetic,NonAdmitted,18-51 weeks,4
2023-01,QE,Endocrin,NonAdmitted,0-17 weeks,306
2023-01,QE,Endocrin,NonAdmitted,18-51 weeks,29
2023-01,QE,ENT,Admitted,0-17 weeks,20
2023-01,QE,ENT,Admitted,18-51 weeks,25
2023-01,QE,ENT,Admitted,52+ weeks,3
2023-01,QE,ENT,NonAdmitted,0-17 weeks,1392
2023-01,QE,ENT,NonAdmitted,18-51 weeks,1198
2023-01,QE,ENT,NonAdmitted,52+ weeks,28
2023-01,QE,Gastro,Admitted,0-17 weeks,249
2023-01,QE,Gastro,Admitted,18-51 weeks,60
2023-01,QE,Gastro,Admitted,52+ weeks,10
2023-01,QE,Gastro,NonAdmitted,0-17 weeks,1374
2023-01,QE,Gastro,NonAdmitted,18-51 weeks,745
2023-01,QE,Gastro,NonAdmitted,52+ weeks,44
2023-01,QE,Gen Med,NonAdmitted,0-17 weeks,191
2023-01,QE,Gen Med,NonAdmitted,18-51 weeks,7
2023-01,QE,Gen Surg,Admitted,0-17 weeks,179
2023-01,QE,Gen Surg,Admitted,18-51 weeks,206
2023-01,QE,Gen Surg,Admitted,52+ weeks,89
2023-01,QE,Gen Surg,NonAdmitted,0-17 weeks,1102
2023-01,QE,Gen Surg,NonAdmitted,18-51 weeks,744
2023-01,QE,Gen Surg,NonAdmitted,52+ weeks,179
2023-01,QE,Geriatric Med,NonAdmitted,0-17 weeks,2
2023-01,QE,Gynae,Admitted,0-17 weeks,180
2023-01,QE,Gynae,Admitted,18-51 weeks,240
2023-01,QE,Gynae,Admitted,52+ weeks,95
2023-01,QE,Gynae,NonAdmitted,0-17 weeks,1797
2023-01,QE,Gynae,NonAdmitted,18-51 weeks,783
2023-01,QE,Gynae,NonAdmitted,52+ weeks,131
2023-01,QE,Med Oncol,Admitted,0-17 weeks,7
2023-01,QE,Med Oncol,NonAdmitted,0-17 weeks,16
2023-01,QE,Med Oncol,NonAdmitted,18-51 weeks,2
2023-01,QE,Nephro,NonAdmitted,0-17 weeks,138
2023-01,QE,Nephro,NonAdmitted,18-51 weeks,4
2023-01,QE,Neuro,Admitted,0-17 weeks,1
2023-01,QE,Neuro,NonAdmitted,0-17 weeks,956
2023-01,QE,Neuro,NonAdmitted,18-51 weeks,703
2023-01,QE,Neuro,NonAdmitted,52+ weeks,13
2023-01,QE,Paed Cardio,NonAdmitted,0-17 weeks,15
2023-01,QE,Paed Cardio,NonAdmitted,18-51 weeks,9
2023-01,QE,Paed Clin Haem,NonAdmitted,0-17 weeks,2
2023-01,QE,Paed Derm,NonAdmitted,0-17 weeks,193
2023-01,QE,Paed Derm,NonAdmitted,18-51 weeks,123
2023-01,QE,Paed Derm,NonAdmitted,52+ weeks,3
2023-01,QE,Paed Diab Med,NonAdmitted,0-17 weeks,3
2023-01,QE,Paed Diab Med,NonAdmitted,18-51 weeks,1
2023-01,QE,Paed Endocrin,NonAdmitted,0-17 weeks,6
2023-01,QE,Paed Endocrin,NonAdmitted,18-51 weeks,6
2023-01,QE,Paed ENT,Admitted,0-17 weeks,21
2023-01,QE,Paed ENT,Admitted,18-51 weeks,34
2023-01,QE,Paed ENT,NonAdmitted,0-17 weeks,782
2023-01,QE,Paed ENT,NonAdmitted,18-51 weeks,558
2023-01,QE,Paed ENT,NonAdmitted,52+ weeks,9
2023-01,QE,Paed Med Oncol,Admitted,0-17 weeks,2
2023-01,QE,Paed Med Oncol,NonAdmitted,0-17 weeks,4
2023-01,QE,Paed Surg,Admitted,0-17 weeks,2
2023-01,QE,Paed Surg,Admitted,18-51 weeks,3
2023-01,QE,Paed Surg,NonAdmitted,0-17 weeks,61
2023-01,QE,Paed Surg,NonAdmitted,18-51 weeks,38
2023-01,QE,Paed T&O,Admitted,0-17 weeks,5
2023-01,QE,Paed T&O,Admitted,52+ weeks,1
2023-01,QE,Paed T&O,NonAdmitted,0-17 weeks,170
2023-01,QE,Paed T&O,NonAdmitted,18-51 weeks,54
2023-01,QE,Paed T&O,NonAdmitted,52+ weeks,22
2023-01,QE,Paediatrics,Admitted,0-17 weeks,13
2023-01,QE,Paediatrics,Admitted,18-51 weeks,1
2023-01,QE,Paediatrics,NonAdmitted,0-17 weeks,722
2023-01,QE,Paediatrics,NonAdmitted,18-51 weeks,244
2023-01,QE,Paediatrics,NonAdmitted,52+ weeks,1
2023-01,QE,Pain Manage,Admitted,0-17 weeks,46
2023-01,QE,Pain Manage,Admitted,18-51 weeks,62
2023-01,QE,Pain Manage,Admitted,52+ weeks,10
2023-01,QE,Pain Manage,NonAdmitted,0-17 weeks,390
2023-01,QE,Pain Manage,NonAdmitted,18-51 weeks,139
2023-01,QE,Pain Manage,NonAdmitted,52+ weeks,9
2023-01,QE,Plastics,Admitted,0-17 weeks,6
2023-01,QE,Plastics,Admitted,18-51 weeks,2
2023-01,QE,Plastics,NonAdmitted,0-17 weeks,10
2023-01,QE,Plastics,NonAdmitted,52+ weeks,1
2023-01,QE,Resp Med,Admitted,0-17 weeks,44
2023-01,QE,Resp Med,Admitted,18-51 weeks,42
2023-01,QE,Resp Med,Admitted,52+ weeks,1
2023-01,QE,Resp Med,NonAdmitted,0-17 weeks,767
2023-01,QE,Resp Med,NonAdmitted,18-51 weeks,287
2023-01,QE,Rheum,Admitted,0-17 weeks,2
2023-01,QE,Rheum,NonAdmitted,0-17 weeks,336
2023-01,QE,Rheum,NonAdmitted,18-51 weeks,145
2023-01,QE,Rheum,NonAdmitted,52+ weeks,3
2023-01,QE,T&O,Admitted,0-17 weeks,230
2023-01,QE,T&O,Admitted,18-51 weeks,292
2023-01,QE,T&O,Admitted,52+ weeks,31
2023-01,QE,T&O,NonAdmitted,0-17 weeks,1067
2023-01,QE,T&O,NonAdmitted,18-51 weeks,497
2023-01,QE,T&O,NonAdmitted,52+ weeks,85
2023-01,QE,Upper Gast Surg,NonAdmitted,0-17 weeks,68
2023-01,QE,Upper Gast Surg,NonAdmitted,18-51 weeks,14
2023-01,QE,Upper Gast Surg,NonAdmitted,52+ weeks,9
2023-01,QE,Urology,Admitted,0-17 weeks,69
2023-01,QE,Urology,Admitted,18-51 weeks,100
2023-01,QE,Urology,Admitted,52+ weeks,14
2023-01,QE,Urology,NonAdmitted,0-17 weeks,1106
2023-01,QE,Urology,NonAdmitted,18-51 weeks,415
2023-01,QE,Urology,NonAdmitted,52+ weeks,7
2023-01,QE,Vasc Surg,Admitted,0-17 weeks,1
2023-01,QE,Vasc Surg,Admitted,18-51 weeks,4
2023-01,QE,Vasc Surg,Admitted,52+ weeks,4
2023-01,QE,Vasc Surg,NonAdmitted,0-17 weeks,89
2023-01,QE,Vasc Surg,NonAdmitted,18-51 weeks,77
2023-01,QE,Vasc Surg,NonAdmitted,52+ weeks,28
2023-02,LH,A&E,NonAdmitted,0-17 weeks,17
2023-02,LH,A&E,NonAdmitted,18-51 weeks,8
2023-02,LH,Audiology,Admitted,52+ weeks,1
2023-02,LH,Audiology,NonAdmitted,0-17 weeks,110
2023-02,LH,Audiology,NonAdmitted,18-51 weeks,59
2023-02,LH,Audiology,NonAdmitted,52+ weeks,13
2023-02,LH,Cardio,Admitted,0-17 weeks,2
2023-02,LH,Cardio,Admitted,18-51 weeks,1
2023-02,LH,Cardio,NonAdmitted,0-17 weeks,831
2023-02,LH,Cardio,NonAdmitted,18-51 weeks,1152
2023-02,LH,Cardio,NonAdmitted,52+ weeks,203
2023-02,LH,Clin Haem,Admitted,0-17 weeks,6
2023-02,LH,Clin Haem,Admitted,18-51 weeks,1
2023-02,LH,Clin Haem,NonAdmitted,0-17 weeks,316
2023-02,LH,Clin Haem,NonAdmitted,18-51 weeks,30
2023-02,LH,Clin Haem,NonAdmitted,52+ weeks,2
2023-02,LH,Colorect Surg,Admitted,0-17 weeks,28
2023-02,LH,Colorect Surg,Admitted,18-51 weeks,10
2023-02,LH,Colorect Surg,Admitted,52+ weeks,2
2023-02,LH,Colorect Surg,NonAdmitted,0-17 weeks,295
2023-02,LH,Colorect Surg,NonAdmitted,18-51 weeks,45
2023-02,LH,Colorect Surg,NonAdmitted,52+ weeks,14
2023-02,LH,Derm,Admitted,0-17 weeks,88
2023-02,LH,Derm,Admitted,18-51 weeks,8
2023-02,LH,Derm,Admitted,52+ weeks,6
2023-02,LH,Derm,NonAdmitted,0-17 weeks,930
2023-02,LH,Derm,NonAdmitted,18-51 weeks,398
2023-02,LH,Derm,NonAdmitted,52+ weeks,57
2023-02,LH,Diabetic,NonAdmitted,0-17 weeks,121
2023-02,LH,Diabetic,NonAdmitted,18-51 weeks,13
2023-02,LH,Endocrin,NonAdmitted,0-17 weeks,200
2023-02,LH,Endocrin,NonAdmitted,18-51 weeks,20
2023-02,LH,Endocrin,NonAdmitted,52+ weeks,1
2023-02,LH,ENT,Admitted,0-17 weeks,293
2023-02,LH,ENT,Admitted,18-51 weeks,574
2023-02,LH,ENT,Admitted,52+ weeks,299
2023-02,LH,ENT,NonAdmitted,0-17 weeks,2912
2023-02,LH,ENT,NonAdmitted,18-51 weeks,2244
2023-02,LH,ENT,NonAdmitted,52+ weeks,302
2023-02,LH,Gastro,Admitted,0-17 weeks,91
2023-02,LH,Gastro,Admitted,18-51 weeks,8
2023-02,LH,Gastro,Admitted,52+ weeks,4
2023-02,LH,Gastro,NonAdmitted,0-17 weeks,1239
2023-02,LH,Gastro,NonAdmitted,18-51 weeks,1006
2023-02,LH,Gastro,NonAdmitted,52+ weeks,138
2023-02,LH,Gen Med,Admitted,0-17 weeks,1
2023-02,LH,Gen Med,NonAdmitted,0-17 weeks,220
2023-02,LH,Gen Med,NonAdmitted,18-51 weeks,318
2023-02,LH,Gen Med,NonAdmitted,52+ weeks,27
2023-02,LH,Gen Surg,Admitted,0-17 weeks,143
2023-02,LH,Gen Surg,Admitted,18-51 weeks,272
2023-02,LH,Gen Surg,Admitted,52+ weeks,92
2023-02,LH,Gen Surg,NonAdmitted,0-17 weeks,1544
2023-02,LH,Gen Surg,NonAdmitted,18-51 weeks,930
2023-02,LH,Gen Surg,NonAdmitted,52+ weeks,152
2023-02,LH,Geriatric Med,NonAdmitted,0-17 weeks,174
2023-02,LH,Gynae,Admitted,0-17 weeks,147
2023-02,LH,Gynae,Admitted,18-51 weeks,189
2023-02,LH,Gynae,Admitted,52+ weeks,87
2023-02,LH,Gynae,NonAdmitted,0-17 weeks,2252
2023-02,LH,Gynae,NonAdmitted,18-51 weeks,425
2023-02,LH,Gynae,NonAdmitted,52+ weeks,31
2023-02,LH,Med Oncol,Admitted,0-17 weeks,37
2023-02,LH,Med Oncol,Admitted,18-51 weeks,2
2023-02,LH,Med Oncol,Admitted,52+ weeks,1
2023-02,LH,Med Oncol,NonAdmitted,0-17 weeks,229
2023-02,LH,Med Oncol,NonAdmitted,18-51 weeks,5
2023-02,LH,Nephro,NonAdmitted,0-17 weeks,98
2023-02,LH,Nephro,NonAdmitted,18-51 weeks,16
2023-02,LH,Neuro,NonAdmitted,0-17 weeks,801
2023-02,LH,Neuro,NonAdmitted,18-51 weeks,966
2023-02,LH,Neuro,NonAdmitted,52+ weeks,169
2023-02,LH,Paed Cardio,NonAdmitted,0-17 weeks,87
2023-02,LH,Paed Cardio,NonAdmitted,18-51 weeks,14
2023-02,LH,Paed Cardio,NonAdmitted,52+ weeks,2
2023-02,LH,Paed Clin Haem,NonAdmitted,0-17 weeks,3
2023-02,LH,Paed Derm,Admitted,0-17 weeks,2
2023-02,LH,Paed Derm,Admitted,18-51 weeks,3
2023-02,LH,Paed Derm,Admitted,52+ weeks,1
2023-02,LH,Paed Derm,NonAdmitted,0-17 weeks,135
2023-02,LH,Paed Derm,NonAdmitted,18-51 weeks,11
2023-02,LH,Paed Endocrin,NonAdmitted,0-17 weeks,6
2023-02,LH,Paed Endocrin,NonAdmitted,18-51 weeks,1
2023-02,LH,Paed ENT,Admitted,0-17 weeks,133
2023-02,LH,Paed ENT,Admitted,18-51 weeks,293
2023-02,LH,Paed ENT,Admitted,52+ weeks,52
2023-02,LH,Paed ENT,NonAdmitted,0-17 weeks,435
2023-02,LH,Paed ENT,NonAdmitted,18-51 weeks,340
2023-02,LH,Paed ENT,NonAdmitted,52+ weeks,29
2023-02,LH,Paed Gastro,NonAdmitted,0-17 weeks,40
2023-02,LH,Paed Gastro,NonAdmitted,18-51 weeks,5
2023-02,LH,Paed Ophthal,NonAdmitted,0-17 weeks,444
2023-02,LH,Paed Ophthal,NonAdmitted,18-51 weeks,134
2023-02,LH,Paed Ophthal,NonAdmitted,52+ weeks,2
2023-02,LH,Paed Rheum,NonAdmitted,0-17 weeks,48
2023-02,LH,Paed Rheum,NonAdmitted,18-51 weeks,11
2023-02,LH,Paed Surg,Admitted,0-17 weeks,70
2023-02,LH,Paed Surg,Admitted,18-51 weeks,24
2023-02,LH,Paed Surg,NonAdmitted,0-17 weeks,136
2023-02,LH,Paed Surg,NonAdmitted,18-51 weeks,21
2023-02,LH,Paed T&O,Admitted,0-17 weeks,2
2023-02,LH,Paed T&O,Admitted,18-51 weeks,7
2023-02,LH,Paed T&O,Admitted,52+ weeks,1
2023-02,LH,Paed T&O,NonAdmitted,0-17 weeks,3
2023-02,LH,Paed T&O,NonAdmitted,18-51 weeks,2
2023-02,LH,Paediatrics,NonAdmitted,0-17 weeks,645
2023-02,LH,Paediatrics,NonAdmitted,18-51 weeks,271
2023-02,LH,Paediatrics,NonAdmitted,52+ weeks,8
2023-02,LH,Pain Manage,Admitted,0-17 weeks,22
2023-02,LH,Pain Manage,Admitted,18-51 weeks,40
2023-02,LH,Pain Manage,Admitted,52+ weeks,10
2023-02,LH,Pain Manage,NonAdmitted,0-17 weeks,366
2023-02,LH,Pain Manage,NonAdmitted,18-51 weeks,361
2023-02,LH,Pain Manage,NonAdmitted,52+ weeks,47
2023-02,LH,Resp Med,Admitted,0-17 weeks,2
2023-02,LH,Resp Med,NonAdmitted,0-17 weeks,491
2023-02,LH,Resp Med,NonAdmitted,18-51 weeks,34
2023-02,LH,Resp Med,NonAdmitted,52+ weeks,1
2023-02,LH,Rheum,NonAdmitted,0-17 weeks,398
2023-02,LH,Rheum,NonAdmitted,18-51 weeks,40
2023-02,LH,T&O,Admitted,0-17 weeks,387
2023-02,LH,T&O,Admitted,18-51 weeks,700
2023-02,LH,T&O,Admitted,52+ weeks,237
2023-02,LH,T&O,NonAdmitted,0-17 weeks,1427
2023-02,LH,T&O,NonAdmitted,18-51 weeks,874
2023-02,LH,T&O,NonAdmitted,52+ weeks,133
2023-02,LH,Upper Gast Surg,Admitted,0-17 weeks,18
2023-02,LH,Upper Gast Surg,Admitted,18-51 weeks,4
2023-02,LH,Upper Gast Surg,NonAdmitted,0-17 weeks,234
2023-02,LH,Upper Gast Surg,NonAdmitted,18-51 weeks,114
2023-02,LH,Upper Gast Surg,NonAdmitted,52+ weeks,16
2023-02,LH,Urology,Admitted,0-17 weeks,73
2023-02,LH,Urology,Admitted,18-51 weeks,50
2023-02,LH,Urology,Admitted,52+ weeks,7
2023-02,LH,Urology,NonAdmitted,0-17 weeks,14
2023-02,LH,Urology,NonAdmitted,18-51 weeks,10
2023-02,LH,Urology,NonAdmitted,52+ weeks,2
2023-02,LH,Vasc Surg,Admitted,0-17 weeks,14
2023-02,LH,Vasc Surg,Admitted,18-51 weeks,45
2023-02,LH,Vasc Surg,Admitted,52+ weeks,79
2023-02,LH,Vasc Surg,NonAdmitted,0-17 weeks,415
2023-02,LH,Vasc Surg,NonAdmitted,18-51 weeks,572
2023-02,LH,Vasc Surg,NonAdmitted,52+ weeks,202
2023-02,LHC,Community Paeds,NonAdmitted,0-17 weeks,105
2023-02,QE,A&E,NonAdmitted,0-17 weeks,1
2023-02,QE,Audiology,NonAdmitted,0-17 weeks,53
2023-02,QE,Audiology,NonAdmitted,18-51 weeks,12
2023-02,QE,Cardio,Admitted,0-17 weeks,38
2023-02,QE,Cardio,Admitted,18-51 weeks,6
2023-02,QE,Cardio,NonAdmitted,0-17 weeks,1041
2023-02,QE,Cardio,NonAdmitted,18-51 weeks,648
2023-02,QE,Cardio,NonAdmitted,52+ weeks,14
2023-02,QE,Clin Haem,Admitted,0-17 weeks,5
2023-02,QE,Clin Haem,Admitted,18-51 weeks,2
2023-02,QE,Clin Haem,NonAdmitted,0-17 weeks,212
2023-02,QE,Clin Haem,NonAdmitted,18-51 weeks,81
2023-02,QE,Clin Haem,NonAdmitted,52+ weeks,5
2023-02,QE,Colorect Surg,Admitted,0-17 weeks,189
2023-02,QE,Colorect Surg,Admitted,18-51 weeks,71
2023-02,QE,Colorect Surg,Admitted,52+ weeks,34
2023-02,QE,Colorect Surg,NonAdmitted,0-17 weeks,779
2023-02,QE,Colorect Surg,NonAdmitted,18-51 weeks,510
2023-02,QE,Colorect Surg,NonAdmitted,52+ weeks,166
2023-02,QE,Derm,NonAdmitted,0-17 weeks,1429
2023-02,QE,Derm,NonAdmitted,18-51 weeks,541
2023-02,QE,Derm,NonAdmitted,52+ weeks,1
2023-02,QE,Diabetic,NonAdmitted,0-17 weeks,55
2023-02,QE,Diabetic,NonAdmitted,18-51 weeks,7
2023-02,QE,Endocrin,NonAdmitted,0-17 weeks,283
2023-02,QE,Endocrin,NonAdmitted,18-51 weeks,30
2023-02,QE,ENT,Admitted,0-17 weeks,17
